bounds,GT_AHNSUB
"(104000, 566250, 105000, 567500)",09AZ1_10
"(100000, 565000, 101000, 566250)",09AZ1_11
"(101000, 565000, 102000, 566250)",09AZ1_12
"(102000, 565000, 103000, 566250)",09AZ1_13
"(103000, 565000, 104000, 566250)",09AZ1_14
"(104000, 565000, 105000, 566250)",09AZ1_15
"(100000, 563750, 101000, 565000)",09AZ1_16
"(101000, 563750, 102000, 565000)",09AZ1_17
"(102000, 563750, 103000, 565000)",09AZ1_18
"(103000, 563750, 104000, 565000)",09AZ1_19
"(104000, 563750, 105000, 565000)",09AZ1_20
"(100000, 562500, 101000, 563750)",09AZ1_21
"(101000, 562500, 102000, 563750)",09AZ1_22
"(102000, 562500, 103000, 563750)",09AZ1_23
"(103000, 562500, 104000, 563750)",09AZ1_24
"(104000, 562500, 105000, 563750)",09AZ1_25
"(100000, 542500, 101000, 543750)",14AZ1_01
"(101000, 542500, 102000, 543750)",14AZ1_02
"(102000, 542500, 103000, 543750)",14AZ1_03
"(103000, 542500, 104000, 543750)",14AZ1_04
"(104000, 542500, 105000, 543750)",14AZ1_05
"(100000, 541250, 101000, 542500)",14AZ1_06
"(101000, 541250, 102000, 542500)",14AZ1_07
"(102000, 541250, 103000, 542500)",14AZ1_08
"(103000, 541250, 104000, 542500)",14AZ1_09
"(104000, 541250, 105000, 542500)",14AZ1_10
"(100000, 540000, 101000, 541250)",14AZ1_11
"(101000, 540000, 102000, 541250)",14AZ1_12
"(102000, 540000, 103000, 541250)",14AZ1_13
"(103000, 540000, 104000, 541250)",14AZ1_14
"(104000, 540000, 105000, 541250)",14AZ1_15
"(100000, 538750, 101000, 540000)",14AZ1_16
"(101000, 538750, 102000, 540000)",14AZ1_17
"(102000, 538750, 103000, 540000)",14AZ1_18
"(103000, 538750, 104000, 540000)",14AZ1_19
"(104000, 538750, 105000, 540000)",14AZ1_20
"(100000, 537500, 101000, 538750)",14AZ1_21
"(101000, 537500, 102000, 538750)",14AZ1_22
"(102000, 537500, 103000, 538750)",14AZ1_23
"(103000, 537500, 104000, 538750)",14AZ1_24
"(104000, 537500, 105000, 538750)",14AZ1_25
"(100000, 517500, 101000, 518750)",19AZ1_01
"(101000, 517500, 102000, 518750)",19AZ1_02
"(102000, 517500, 103000, 518750)",19AZ1_03
"(103000, 517500, 104000, 518750)",19AZ1_04
"(104000, 517500, 105000, 518750)",19AZ1_05
"(100000, 516250, 101000, 517500)",19AZ1_06
"(101000, 516250, 102000, 517500)",19AZ1_07
"(102000, 516250, 103000, 517500)",19AZ1_08
"(103000, 516250, 104000, 517500)",19AZ1_09
"(104000, 516250, 105000, 517500)",19AZ1_10
"(100000, 515000, 101000, 516250)",19AZ1_11
"(101000, 515000, 102000, 516250)",19AZ1_12
"(102000, 515000, 103000, 516250)",19AZ1_13
"(103000, 515000, 104000, 516250)",19AZ1_14
"(104000, 515000, 105000, 516250)",19AZ1_15
"(100000, 513750, 101000, 515000)",19AZ1_16
"(101000, 513750, 102000, 515000)",19AZ1_17
"(102000, 513750, 103000, 515000)",19AZ1_18
"(103000, 513750, 104000, 515000)",19AZ1_19
"(104000, 513750, 105000, 515000)",19AZ1_20
"(100000, 512500, 101000, 513750)",19AZ1_21
"(101000, 512500, 102000, 513750)",19AZ1_22
"(102000, 512500, 103000, 513750)",19AZ1_23
"(103000, 512500, 104000, 513750)",19AZ1_24
"(104000, 512500, 105000, 513750)",19AZ1_25
"(100000, 492500, 101000, 493750)",25AZ1_01
"(101000, 492500, 102000, 493750)",25AZ1_02
"(102000, 492500, 103000, 493750)",25AZ1_03
"(103000, 492500, 104000, 493750)",25AZ1_04
"(104000, 492500, 105000, 493750)",25AZ1_05
"(100000, 491250, 101000, 492500)",25AZ1_06
"(101000, 491250, 102000, 492500)",25AZ1_07
"(102000, 491250, 103000, 492500)",25AZ1_08
"(103000, 491250, 104000, 492500)",25AZ1_09
"(104000, 491250, 105000, 492500)",25AZ1_10
"(100000, 490000, 101000, 491250)",25AZ1_11
"(101000, 490000, 102000, 491250)",25AZ1_12
"(102000, 490000, 103000, 491250)",25AZ1_13
"(103000, 490000, 104000, 491250)",25AZ1_14
"(104000, 490000, 105000, 491250)",25AZ1_15
"(100000, 488750, 101000, 490000)",25AZ1_16
"(101000, 488750, 102000, 490000)",25AZ1_17
"(102000, 488750, 103000, 490000)",25AZ1_18
"(103000, 488750, 104000, 490000)",25AZ1_19
"(104000, 488750, 105000, 490000)",25AZ1_20
"(100000, 487500, 101000, 488750)",25AZ1_21
"(101000, 487500, 102000, 488750)",25AZ1_22
"(102000, 487500, 103000, 488750)",25AZ1_23
"(103000, 487500, 104000, 488750)",25AZ1_24
"(104000, 487500, 105000, 488750)",25AZ1_25
"(100000, 467500, 101000, 468750)",31AZ1_01
"(101000, 467500, 102000, 468750)",31AZ1_02
"(102000, 467500, 103000, 468750)",31AZ1_03
"(103000, 467500, 104000, 468750)",31AZ1_04
"(104000, 467500, 105000, 468750)",31AZ1_05
"(100000, 466250, 101000, 467500)",31AZ1_06
"(101000, 466250, 102000, 467500)",31AZ1_07
"(102000, 466250, 103000, 467500)",31AZ1_08
"(103000, 466250, 104000, 467500)",31AZ1_09
"(104000, 466250, 105000, 467500)",31AZ1_10
"(100000, 465000, 101000, 466250)",31AZ1_11
"(101000, 465000, 102000, 466250)",31AZ1_12
"(102000, 465000, 103000, 466250)",31AZ1_13
"(103000, 465000, 104000, 466250)",31AZ1_14
"(104000, 465000, 105000, 466250)",31AZ1_15
"(100000, 463750, 101000, 465000)",31AZ1_16
"(101000, 463750, 102000, 465000)",31AZ1_17
"(102000, 463750, 103000, 465000)",31AZ1_18
"(103000, 463750, 104000, 465000)",31AZ1_19
"(104000, 463750, 105000, 465000)",31AZ1_20
"(100000, 462500, 101000, 463750)",31AZ1_21
"(101000, 462500, 102000, 463750)",31AZ1_22
"(102000, 462500, 103000, 463750)",31AZ1_23
"(103000, 462500, 104000, 463750)",31AZ1_24
"(104000, 462500, 105000, 463750)",31AZ1_25
"(100000, 442500, 101000, 443750)",38AZ1_01
"(101000, 442500, 102000, 443750)",38AZ1_02
"(102000, 442500, 103000, 443750)",38AZ1_03
"(103000, 442500, 104000, 443750)",38AZ1_04
"(104000, 442500, 105000, 443750)",38AZ1_05
"(100000, 441250, 101000, 442500)",38AZ1_06
"(101000, 441250, 102000, 442500)",38AZ1_07
"(102000, 441250, 103000, 442500)",38AZ1_08
"(103000, 441250, 104000, 442500)",38AZ1_09
"(104000, 441250, 105000, 442500)",38AZ1_10
"(100000, 440000, 101000, 441250)",38AZ1_11
"(101000, 440000, 102000, 441250)",38AZ1_12
"(102000, 440000, 103000, 441250)",38AZ1_13
"(103000, 440000, 104000, 441250)",38AZ1_14
"(104000, 440000, 105000, 441250)",38AZ1_15
"(100000, 438750, 101000, 440000)",38AZ1_16
"(101000, 438750, 102000, 440000)",38AZ1_17
"(102000, 438750, 103000, 440000)",38AZ1_18
"(103000, 438750, 104000, 440000)",38AZ1_19
"(104000, 438750, 105000, 440000)",38AZ1_20
"(100000, 437500, 101000, 438750)",38AZ1_21
"(101000, 437500, 102000, 438750)",38AZ1_22
"(102000, 437500, 103000, 438750)",38AZ1_23
"(103000, 437500, 104000, 438750)",38AZ1_24
"(104000, 437500, 105000, 438750)",38AZ1_25
"(100000, 417500, 101000, 418750)",44AZ1_01
"(101000, 417500, 102000, 418750)",44AZ1_02
"(102000, 417500, 103000, 418750)",44AZ1_03
"(103000, 417500, 104000, 418750)",44AZ1_04
"(104000, 417500, 105000, 418750)",44AZ1_05
"(100000, 416250, 101000, 417500)",44AZ1_06
"(101000, 416250, 102000, 417500)",44AZ1_07
"(102000, 416250, 103000, 417500)",44AZ1_08
"(103000, 416250, 104000, 417500)",44AZ1_09
"(104000, 416250, 105000, 417500)",44AZ1_10
"(100000, 415000, 101000, 416250)",44AZ1_11
"(101000, 415000, 102000, 416250)",44AZ1_12
"(102000, 415000, 103000, 416250)",44AZ1_13
"(103000, 415000, 104000, 416250)",44AZ1_14
"(104000, 415000, 105000, 416250)",44AZ1_15
"(100000, 413750, 101000, 415000)",44AZ1_16
"(101000, 413750, 102000, 415000)",44AZ1_17
"(102000, 413750, 103000, 415000)",44AZ1_18
"(103000, 413750, 104000, 415000)",44AZ1_19
"(104000, 413750, 105000, 415000)",44AZ1_20
"(100000, 412500, 101000, 413750)",44AZ1_21
"(101000, 412500, 102000, 413750)",44AZ1_22
"(102000, 412500, 103000, 413750)",44AZ1_23
"(103000, 412500, 104000, 413750)",44AZ1_24
"(104000, 412500, 105000, 413750)",44AZ1_25
"(100000, 392500, 101000, 393750)",50AZ1_01
"(101000, 392500, 102000, 393750)",50AZ1_02
"(102000, 392500, 103000, 393750)",50AZ1_03
"(103000, 392500, 104000, 393750)",50AZ1_04
